dummy,rgdpl,s,y,e,l,k
SVN,22951.0694,30.83781537,46118110.45,15.7983,1024814,197758.2969
ZAF,6770.073412,21.74576198,320678286.4,377.078,18627037,927342.625
ESP,27805.0622,29.30179333,1214970044,279.6155,23543802,6825539.5
LKA,3265.654842,23.56616909,65612179.76,14.1166,8593302,271480.4375
SDN,1821.399459,16.60187116,70525854.74,15.75,11327811,80080.42969
SUR,9041.080932,71.1250404,4160001.063,2.3816,207142,14538.52637
SWZ,3332.302234,14.27103625,4183723.631,1.0223,424797,24354.68945
SWE,33496.27235,18.36935551,301475336.8,48.6536,5038026,881590.9375
CHE,37539.35157,25.11628041,280441104.4,45.8232,4585298,1168129.375
SYR,3670.587085,15.83642367,70130679.31,60.7338,6162950,287301.0625
TJK,1421.926646,5.660003496,9715774.251,3.0129,3387609,58502.17188
TZA,937.1098695,22.64480858,35416716.21,6.8366,22801577,126254.3438
THA,6894.660401,27.36095322,442561429.2,254.3944,39109600,2238109.5
TGO,734.4998888,15.20964053,4222866.354,1.5794,3038279,14862.58789
TTO,23170.69617,20.83517602,28694701.78,44.4495,675468,28906.01563
TUN,5730.149525,28.65834544,57380815.11,26.4017,3871576,252524.9844
TUR,9205.829924,18.29607053,668633381.7,297.1466,26634365,2483896.5
TKM,11089.47748,22.64584195,51727697.42,57.1396,2211956,257668.2031
UGA,971.8049909,14.07058644,27605953.15,3.7812,14007698,65670.17188
UKR,5742.368262,13.99561166,270169200.8,276.3419,23151987,1547126.125
GBR,33263.74846,18.21216456,2015898367,487.3331,32287857,6307148.5
USA,41329.45044,22.86009341,12233404993,5472.1245,157565258,40731044
URY,9179.073092,20.9581824,29955491.98,6.7378,1722663,127328.5625
UZB,1975.332466,22.50349194,52367345.84,104.8458,12674656,230935.4219
VEN,8888.253133,20.81012771,224925725.7,200.9048,13565025,904270.75
VNM,2082.842739,31.1351054,175794772.6,155.8403,51933140,1122653.375
YEM,2213.817706,23.96785261,45135440.17,26.1825,6592523,220802.3906
ZMB,1188.971401,22.37438965,14029252.27,2.2383,5762238,52745.91797
ZWE,335.524635,3.86543211,3908131.225,9.0181,6824134,9437.095703
