      area_2000 coast_length dryland_loss max_dryland_loss DEM   land_value wetland_loss_SLR wetland_loss_coastalsqueeze exposed_wetland W_1990    coast_protection_cost
DEU   348672    2389         4212         348672           0.273 1004586    3210.0           903                         37202           95000.79  153.9
GRC   130647    13676        4212         130647           0.273 1004586    3210.0           903                         37202           95000.79  153.9
ISL   100250.0  4970.0       4212         100250.0         0.273 1004586    3210.0           903                         37202           95000.79  153.9
IRL   68883     1448         4212         68883            0.273 1004586    3210.0           903                         37202           95000.79  153.9
ITA   294140.0  7600.0       4212         294140.0         0.273 1004586    3210.0           903                         37202           95000.79  153.9
LUX   2586      0.0          4212         0.0              0.273 1004586    0.0              903                         0.0             95000.79  153.9
MLT   316       252.81       4212         316              0.273 1004586    3210.0           903                         37202           95000.79  153.9
NLD   33893     451          4212         33893            0.273 1004586    3210.0           903                         37202           95000.79  153.9
NOR   304282    25148        4212         304282           0.273 1004586    3210.0           903                         37202           95000.79  153.9
PRT   91470.0   1793         4212         91470.0          0.273 1004586    3210.0           903                         37202           95000.79  153.9
ESP   498980.0  4964         4212         498980.0         0.273 1004586    3210.0           903                         37202           95000.79  153.9
SWE   410335    3218         4212         410335           0.273 1004586    3210.0           903                         37202           95000.79  153.9
CHE   39997     0.0          4212         0.0              0.273 1004586    0.0              903                         0.0             95000.79  153.9
GBR   241930.0  12429        4212         241930.0         0.273 1004586    3210.0           903                         37202           95000.79  153.9
